affected_vertices_max,affected_vertices_mean,affected_vertices_pct_max,affected_vertices_pct_mean,batch_suffix,batches,change_pct_of_total_edges,coms_file,dataset,display_regime,family,header_edges,header_nodes,hub_incident_edge_pct_mean,initial_edges,intra_community_edge_pct_mean,max_changes,max_node_id,metadata_avr_deg,metadata_dynamic_mode,metadata_hub_avr_deg,metadata_hub_fraction,metadata_k,metadata_max_deg,metadata_n,metadata_nonhub_avr_deg,min_node_id,out_file,planted_hub_endpoint_pct_mean,regime,seed,update_edges_max,update_edges_mean,update_edges_min,updates
2866,2852.1717171717173,2.866,2.8521717171717174,100_batches,100,0.049966746268862446,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc1450-42/coms.dsbm-random-1024-58-mc1450-42.100_batches.npz,dsbm-random-1024-58-mc1450-42,random,dsbm-random-1024-58,2901930,100000,1.9261581330546846,2758380,50.89376523859283,1450,100000,58,random,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc1450-42/out.dsbm-random-1024-58-mc1450-42.100_batches,0.9693501875704262,random,42,1450,1450,1450,99
2861,2851.777777777778,2.861,2.8517777777777775,10_batches,10,0.049966746268862446,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc1450-42/coms.dsbm-random-1024-58-mc1450-42.10_batches.npz,dsbm-random-1024-58-mc1450-42,random,dsbm-random-1024-58,2901930,100000,1.9003831417624522,2888880,51.21072796934866,1450,100000,58,random,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc1450-42/out.dsbm-random-1024-58-mc1450-42.10_batches,0.9661076635819902,random,42,1450,1450,1450,9
2861,2854,2.861,2.854,5_batches,5,0.049966746268862446,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc1450-42/coms.dsbm-random-1024-58-mc1450-42.5_batches.npz,dsbm-random-1024-58-mc1450-42,random,dsbm-random-1024-58,2901930,100000,1.896551724137931,2896130,51.62068965517241,1450,100000,58,random,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc1450-42/out.dsbm-random-1024-58-mc1450-42.5_batches,0.9546908127589813,random,42,1450,1450,1450,4
24957,24820.37373737374,24.956999999999997,24.82037373737374,100_batches,100,0.4996674626886245,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc14500-42/coms.dsbm-random-1024-58-mc14500-42.100_batches.npz,dsbm-random-1024-58-mc14500-42,random,dsbm-random-1024-58,2901930,100000,1.9763148728665971,1466430,50.86757227446883,14500,100000,58,random,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc14500-42/out.dsbm-random-1024-58-mc14500-42.100_batches,0.9946100296802592,random,42,14500,14500,14500,99
24910,24814.11111111111,24.91,24.81411111111111,10_batches,10,0.4996674626886245,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc14500-42/coms.dsbm-random-1024-58-mc14500-42.10_batches.npz,dsbm-random-1024-58-mc14500-42,random,dsbm-random-1024-58,2901930,100000,1.8942528735632185,2771430,50.893486590038314,14500,100000,58,random,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc14500-42/out.dsbm-random-1024-58-mc14500-42.10_batches,0.955473236377545,random,42,14500,14500,14500,9
24824,24768.75,24.823999999999998,24.76875,5_batches,5,0.4996674626886245,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc14500-42/coms.dsbm-random-1024-58-mc14500-42.5_batches.npz,dsbm-random-1024-58-mc14500-42,random,dsbm-random-1024-58,2901930,100000,1.8672413793103448,2843930,50.956896551724135,14500,100000,58,random,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc14500-42/out.dsbm-random-1024-58-mc14500-42.5_batches,0.9335497391794327,random,42,14500,14500,14500,4
580,578.3030303030303,0.58,0.5783030303030303,100_batches,100,0.00999334925377249,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc290-42/coms.dsbm-random-1024-58-mc290-42.100_batches.npz,dsbm-random-1024-58-mc290-42,random,dsbm-random-1024-58,2901930,100000,1.9331243469174504,2873220,51.11459421804249,290,100000,58,random,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc290-42/out.dsbm-random-1024-58-mc290-42.100_batches,0.9711096423922762,random,42,290,290,290,99
580,579,0.58,0.579,10_batches,10,0.00999334925377249,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc290-42/coms.dsbm-random-1024-58-mc290-42.10_batches.npz,dsbm-random-1024-58-mc290-42,random,dsbm-random-1024-58,2901930,100000,2.1455938697318007,2899320,50.689655172413794,290,100000,58,random,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc290-42/out.dsbm-random-1024-58-mc290-42.10_batches,1.074685618251449,random,42,290,290,290,9
579,578.5,0.579,0.5785,5_batches,5,0.00999334925377249,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc290-42/coms.dsbm-random-1024-58-mc290-42.5_batches.npz,dsbm-random-1024-58-mc290-42,random,dsbm-random-1024-58,2901930,100000,2.3275862068965516,2900770,49.827586206896555,290,100000,58,random,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc290-42/out.dsbm-random-1024-58-mc290-42.5_batches,1.1670004160642715,random,42,290,290,290,4
5646,5612.616161616162,5.646,5.612616161616161,100_batches,100,0.09993349253772489,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc2900-42/coms.dsbm-random-1024-58-mc2900-42.100_batches.npz,dsbm-random-1024-58-mc2900-42,random,dsbm-random-1024-58,2901930,100000,1.9515848136537792,2614830,50.79554162312783,2900,100000,58,random,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc2900-42/out.dsbm-random-1024-58-mc2900-42.100_batches,0.9836846696524847,random,42,2900,2900,2900,99
5618,5608.333333333333,5.618,5.608333333333333,10_batches,10,0.09993349253772489,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc2900-42/coms.dsbm-random-1024-58-mc2900-42.10_batches.npz,dsbm-random-1024-58-mc2900-42,random,dsbm-random-1024-58,2901930,100000,1.9003831417624522,2875830,51.088122605363985,2900,100000,58,random,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-random-1024-58/dsbm-random-1024-58-mc2900-42/out.dsbm-random-1024-58-mc2900-42.10_batches,0.9628342784349674,random,42,2900,2900,2900,9
